id_organisation;id_owner;date_creation;id_modifier;id_directeur;date_last_modified;categorie_org;code_org;nom_organisme;adresse_ligne_1;adresse_ligne_2;adresse_ligne_3;cp;ville;region;pays;tel;fax;email;site_web;secteur_activite;id_projet;id_ben;activite_principale;raison_sociale;type_adresse;date_immat;date_debut_activite;forme_juridique;siret;code_naf;dirigeant;implantation;regime_imposition;regime_tva;regime_fiscal;regime_social_dirigeant;statut
6209;5;0;0;0;0;235;92061;Pole Emploi GENNEVILLIERS;1 AllEe des Bas Tilliers;;;92230;;IDF;France;01 41 47 22 40;01 41 21 98 25;;;;;;;;;;;;;;;;;;;;
10747;13;0;10;0;1291027322;231,285;0;APSIE BAGNOLET;18 rue Charles Graindorge;;;93170;BAGNOLET;IDF;France;01 43 62 86 49;01 43 33 01 19;presta@apsie.org;www.apsie.org;;;;;;;;;;;;;;;;;;
10748;13;0;10;0;1291027358;226,285;0;APSIE BOBIGNY;8 avenue Henri Barbusse;;;93000;BOBIGNY;IDF;France;01 48 32 93 95;01 43 33 01 19;presta@apsie.org;www.apsie.org;;;;;;;;;;;;;;;;;;
10928;13;0;10;0;1291027401;127,285;0;APSIE GENNEVILLIERS;17 Rue Richelieu;;;92230;GENNEVILLIERS;IDF;France;09 52 55 51 59;01 43 33 01 19;presta@apsie.org;www.apsie.org;;;;;;;;;;;;;;;;;;
10963;10;0;1033;0;1284028567;235;94153;Pole Emploi ALFORVILLE;7, rue Roger Mordrel;;;94140;ALFORVILLE;IDF;France;01 43 76 44 76;01 43 76 58 46;ale.alfortville@pole-emploi.fr;;;;;;;;;;;;;;;;;;;
10964;10;0;0;0;0;235;92180;Pole Emploi ANTONY CEDEX;67/71, avenue Aristide Briand;;;92161;;IDF;France;01 46 66 37 95;01 40 96 00 43;ale.antony@pole-emploi.fr;;;;;;;;;;;;;;;;;;;
10965;10;0;0;0;0;235;94114;Pole Emploi ARCUEIL CEDEX;5/7 rue Aspasie Jules Caron;;;94114;;IDF;France;01 45 47 74 75;01 45 47 22 16;ale.arcueil@pole-emploi.fr;;;;;;;;;;;;;;;;;;;
10966;10;0;0;0;0;235;95013;Pole Emploi ARGENTEUIL;82, boulevard HEloise;;;95100;;IDF;France;01 39 61 94 57;0139 61 38 99;ale.argenteuil@pole-emploi.fr;;;;;;;;;;;;;;;;;;;
10967;10;0;0;0;0;235;91066;Pole Emploi ARPAJON;22, boulevard Jean JaurEs;;;91294;;IDF;France;01 69 26 12 60;01 69 26 94 73;ale.arpajon@pole-emploi.fr;;;;;;;;;;;;;;;;;;;
10968;10;0;0;0;0;235;93016;Pole Emploi AUBERVILLIERS;81, avenue Victor Hugo;;;93300;;IDF;France;01 48 34 92 24;01 43 52 03 32;ale.aubervilliers@pole-emploi.fr;;;;;;;;;;;;;;;;;;;
10969;10;0;0;0;0;235;93024;Pole Emploi AULNAY-SOUS-BOIS;10, rue Nicolas Robert;;;93600;;IDF;France;01 48 66 04 31;01 48 68 63 08;ale.aulnay-bois@pole-emploi.fr;;;;;;;;;;;;;;;;;;;
10970;10;0;0;0;0;235;75623;Pole Emploi AUTEUIL;19, rue Chanez;;;75016;;IDF;France;01 53 84 84 00;01 47 43 04 00;ale.auteuil@pole-emploi.fr;;;;;;;;;;;;;;;;;;;
10971;10;0;0;0;0;235;92221;Pole Emploi BAGNEUX;96, avenue Albert Petit;;;92220;;IDF;France;01 45 36 99 66;01 45 36 92 00;ale.bagneux@pole-emploi.fr;;;;;;;;;;;;;;;;;;;
10972;10;0;0;0;0;235;93151;Pole Emploi BAGNOLET;72, rue RenE Alazard;;;93170;;IDF;France;01 49 93 00 37;01 48 97 93 03;ale.bagnolet@pole-emploi.fr;;;;;;;;;;;;;;;;;;;
10973;10;0;0;0;0;235;75631;Pole Emploi BATIGNOLLES;16, impasse Compoint;;;75017;;IDF;France;01 40 25 99 60;01 42 29 80 35;ale.batignolles@anpe.fr;;;;;;;;;;;;;;;;;;;
10974;10;0;0;0;0;235;75202;Pole Emploi BEL-AIR;15, boulevard de Picpus;;;75012;;IDF;France;01 43 45 31 31;01 43 44 76 99;ale.bel-air@pole-emploi.fr
10975;10;0;0;0;0;235;93094;Pole Emploi BOBIGNY CEDEX;52/58, avenue Jean JaurEs;;;93003;;IDF;France;01 41 83 52 90;01 48 44 73 07;ale.bobigny@pole-emploi.fr
10976;10;0;0;0;0;235;92030;Pole Emploi BOIS COLOMBES;19, Rue des Peupliers;;;92270;;IDF;France;01 47 86 84 84;01 41 19 95 79;ale.bois-colombes@pole-emploi.fr
10977;10;0;0;0;0;235;93231;Pole Emploi BONDY CEDEX;14/18, rue Auguste Polissard;;;93141;;IDF;France;01 48 50 32 10;01 48 02 13 26;ale.bondy@pole-emploi.fr
10978;10;0;0;0;0;235;75654;Pole Emploi BOUCICAUT;123, avenue FElix Faure;;;75015;;IDF;France;01 53 78 05 90;01 45 58 63 71;ale.boucicaut@pole-emploi.fr
10979;10;0;0;0;0;235;92004;Pole Emploi BOULOGNE BILLANCOURT;85, bd de la REpublique;;;92100;;IDF;France;01 46 10 40 10;01 46 10 40 19;ale.boulogne-rep@pole-emploi.fr
10980;10;0;0;0;0;235;92022;Pole Emploi BOULOGNE BILLANCOURT;82 bis, rue Thiers;;;92104;;IDF;France;01 58 17 04 30;01 46 09 03 20;ale.boulogne-bill@pole-emploi.fr
10981;10;0;0;0;0;235;75161;Pole Emploi BRETEUIL;20, rue des Miollis;;;75015;;IDF;France;01 53 69 99 60;01 53 69 99 69;ale.breteuil@pole-emploi.fr
10982;10;0;0;0;0;235;91100;Pole Emploi BRETIGNY SUR ORGE;19, rue des Cochets;;;91220;;IDF;France;01 60 84 21 27;01 60 84 20 39;ale.bretigny-orge@pole-emploi.fr
10983;10;0;0;0;0;235;77085;Pole Emploi BRIE-COMTE-ROBERT;Rue du 19 Mars 1962;;;77170;;IDF;France;01 60 62 51 90;01 64 05 10 63;ale.brie-cte-robert@pole-emploi.fr
10984;10;0;0;0;0;235;75861;Pole Emploi CADRE BERCY;8/16, rue Van Gogh;;;75012;;IDF;France;01 40 19 96 96;01 40 19 91 92;usp.cadres-bercy@pole-emploi.fr
10985;10;0;0;0;0;235;75703;Pole Emploi CADRE LAFAYETTE;5, rue Saint-Georges;;;75009;;IDF;France;01 42 80 84 20;01 42 80 84 21;usp.cadrelafayette@pole-emploi.fr
10986;10;0;0;0;0;235;92236;Pole Emploi NANTERRE;73, rue Henri Barbusse;;;92000;;IDF;France;01 79 62 15 30;01 79 62 15 31;usp.cadre-nanterre@pole-emploi.fr
10987;10;0;0;0;0;235;78136;Pole Emploi VERSAILLES CEDEX;2, rue Jean Houdon;;;78000;;IDF;France;01 30 83 95 50;01 30 83 95 56;ale.versaille@pole-emploi.fr
10988;10;0;0;0;0;235;481;Pole Emploi ARMEES;Fort de Vincennes;;;;;IDF;France;01 41 93 36 42;01 41 93 39 40;ale.armees@pole-emploi.fr
10989;10;0;0;0;0;235;95052;Pole Emploi CERGY-PONTOISE CEDEX;2, boulevard de l?Oise;;;95015;;IDF;France;01 34 20 14 90;01 34 20 20 90;ale.cergy-prefecture@pole-emploi.fr
10990;10;0;0;0;0;235;95140;Pole Emploi CERGY-SAINT-CHRISTOPHE CEDEX;1, rue de la Grande Ourse;;;95802;;IDF;France;01 34 35 39 59;01 30 75 90 09;ale.cergy-st-christophe@pole-emploi.fr
10991;10;0;0;0;0;235;75945;Pole Emploi CHAMPERRET;5, rue Emile Allez;;;75017;;IDF;France;01 56 68 54 00;01 45 74 90 02;ale.champerret@pole-emploi.fr
10992;10;0;0;0;0;235;94011;Pole Emploi CHAMPIGNY-SUR-MARNE CEDEX;95, avenue de la REpublique;;;94507;;IDF;France;01 47 06 05 08;01 47 06 02 58;ale.champigny@pole-emploi.fr
